filename,width,height,x0,y0,x1,y1,label
1,741,350,246.0,77.0,327.0,296.0,1
1,741,350,323.0,81.0,419.0,300.0,9
2,199,83,77.0,29.0,100.0,61.0,2
2,199,83,98.0,25.0,124.0,57.0,3
3,52,23,17.0,5.0,25.0,20.0,2
3,52,23,25.0,5.0,34.0,20.0,5
4,161,79,57.0,13.0,72.0,47.0,9
4,161,79,72.0,13.0,85.0,47.0,3
5,140,68,52.0,7.0,73.0,53.0,3
5,140,68,74.0,10.0,89.0,56.0,1
6,74,35,28.0,6.0,38.0,27.0,3
6,74,35,38.0,8.0,49.0,29.0,3
7,99,54,35.0,10.0,48.0,42.0,2
7,99,54,47.0,11.0,60.0,43.0,8
8,54,22,17.0,4.0,24.0,19.0,7
8,54,22,25.0,4.0,31.0,19.0,4
8,54,22,31.0,3.0,38.0,18.0,4
9,79,34,19.0,4.0,33.0,28.0,1
9,79,34,29.0,4.0,42.0,28.0,2
9,79,34,38.0,5.0,55.0,29.0,8
10,74,37,25.0,6.0,34.0,33.0,1
10,74,37,34.0,4.0,48.0,31.0,6
11,63,33,22.0,5.0,34.0,31.0,2
11,63,33,33.0,4.0,42.0,30.0,3
12,171,87,67.0,16.0,90.0,71.0,6
12,171,87,90.0,17.0,110.0,72.0,3
13,128,58,44.0,12.0,61.0,45.0,4
13,128,58,63.0,13.0,81.0,46.0,2
14,112,53,35.0,2.0,56.0,44.0,5
14,112,53,55.0,2.0,78.0,44.0,8
15,66,32,22.0,8.0,36.0,28.0,1
15,66,32,33.0,7.0,43.0,27.0,6
16,60,25,20.0,3.0,27.0,22.0,2
16,60,25,26.0,1.0,33.0,20.0,3
17,71,31,23.0,4.0,37.0,26.0,7
17,71,31,35.0,4.0,47.0,26.0,9
18,161,78,52.0,12.0,80.0,53.0,5
18,161,78,80.0,17.0,101.0,58.0,3
19,61,24,19.0,1.0,26.0,20.0,2
19,61,24,28.0,1.0,35.0,20.0,2
19,61,24,36.0,1.0,43.0,20.0,2
20,64,27,20.0,2.0,31.0,26.0,6
20,64,27,32.0,1.0,43.0,25.0,2
21,191,101,72.0,6.0,124.0,91.0,2
22,81,28,24.0,4.0,34.0,20.0,5
